n_righeA,n_colonneA,n_righeB,n_colonneB,time,flops
8192,64,64,256,2.067264,129850587.83
8192,64,64,512,3.019136,177822701.77
8192,64,64,1024,4.866720,220629454.74
8192,64,64,2048,8.566016,250698060.63
8192,64,64,4096,15.960160,269105524.46
8192,64,64,8192,30.445152,282144576.33
8192,128,128,32,1.643200,40840349.54
8192,128,128,64,1.890464,70997242.83
8192,128,128,128,2.206624,121649838.04
8192,128,128,256,2.768864,193895737.82
8192,128,128,512,3.984544,269476711.40
8192,128,128,1024,6.354400,337952221.24
8192,128,128,2048,10.989600,390821069.47
8192,128,128,4096,20.405504,420961643.32
8192,128,128,8192,40.291584,426388527.63
8192,256,256,32,2.771872,48421328.94
8192,256,256,64,3.070240,87431423.66
8192,256,256,128,3.485248,154040945.81
8192,256,256,256,4.368064,245816417.07
8192,256,256,512,6.081344,353126480.42
8192,256,256,1024,9.471264,453473511.87
8192,256,256,2048,16.189600,530583497.85
8192,256,256,4096,30.505056,563181033.64
8192,256,256,8192,58.956768,582795487.48
8192,512,512,32,4.912128,54647488.33
8192,512,512,64,5.308768,101129100.51
8192,512,512,128,6.013888,178543705.01
8192,512,512,256,7.833152,274153201.43
8192,512,512,512,9.904160,433652878.48
8192,512,512,1024,15.242208,563562369.60
8192,512,512,2048,26.566463,646675053.42
8192,512,512,4096,50.510689,680246878.37
8192,512,512,8192,96.488579,712203222.32
8192,1024,1024,32,8.759840,61287753.12
8192,1024,1024,64,9.385696,114401934.28
8192,1024,1024,128,10.655936,201529325.95
8192,1024,1024,256,13.097568,327920988.14
8192,1024,1024,512,18.404673,466725747.75
8192,1024,1024,1024,28.024736,613025183.75
8192,1024,1024,2048,48.848801,703389600.24
8192,1024,1024,4096,89.459618,768161977.08
8192,1024,1024,8192,170.604736,805598698.08
8192,2048,2048,32,16.556896,64851637.07
8192,2048,2048,64,17.735008,121087265.31
8192,2048,2048,128,20.151169,213137378.47
8192,2048,2048,256,24.885376,345180020.59
8192,2048,2048,512,34.652481,495776020.91
8192,2048,2048,1024,53.289150,644779250.83
8192,2048,2048,2048,91.624672,750010617.05
8192,2048,2048,4096,168.730713,814546155.34
8192,2048,2048,8192,319.163391,861245100.78
8192,4096,4096,32,33.531391,64043977.14
8192,4096,4096,64,35.343487,121520757.76
8192,4096,4096,128,40.234558,213496431.84
8192,4096,4096,256,48.665215,353021544.17
8192,4096,4096,512,67.212898,511207510.17
8192,4096,4096,1024,102.837021,668236751.24
8192,4096,4096,2048,178.191620,771298636.66
8192,4096,4096,4096,323.145691,850631509.78
8192,4096,4096,8192,615.792908,892760873.02
8192,8192,8192,32,65.292030,65780881.28
8192,8192,8192,64,70.922493,121117211.63
8192,8192,8192,128,78.826080,217946511.02
8192,8192,8192,256,97.214333,353443133.91
8192,8192,8192,512,131.529022,522466263.17
8192,8192,8192,1024,204.540924,671938655.29
8192,8192,8192,2048,347.793518,790347987.14
8192,8192,8192,4096,636.054626,864321696.62
8192,8192,8192,8192,964.658997,1139793058.14
