n_righeA,n_colonneA,n_righeB,n_colonneB,righe_blocco,colonne_blocco,n_proc,time,flops
32,32,32,64,2,2,4,0.000888,147643339.46
32,32,32,64,3,3,1,0.000580,226168314.29
32,32,32,64,3,3,4,0.000807,162335752.99
32,32,32,64,3,3,8,0.000809,161925628.95
32,32,32,64,4,4,1,0.000552,237442384.65
32,32,32,64,4,4,4,0.000596,219993653.00
32,32,32,64,4,4,8,0.000861,152267662.05
32,32,32,64,4,4,12,0.001118,117285345.28
32,32,32,64,4,4,16,0.000918,142765806.79
32,32,32,128,1,1,1,0.000938,279330659.98
32,32,32,128,2,2,1,0.000934,280725194.81
32,32,32,128,2,2,4,0.003054,85828442.11
32,32,32,128,3,3,1,0.000940,278852870.88
32,32,32,128,3,3,4,0.002947,88955487.32
32,32,32,128,3,3,8,0.006476,40477995.84
32,32,32,128,4,4,1,0.000978,268157983.11
32,32,32,128,4,4,4,0.002836,92435683.91
32,32,32,128,4,4,8,0.004711,55643268.00
32,32,32,128,4,4,12,0.008594,30504811.92
32,32,32,128,4,4,16,0.012308,21298866.36
32,32,32,256,1,1,1,0.001653,317223709.61
32,32,32,256,2,2,1,0.001965,266789482.93
32,32,32,256,2,2,4,0.003341,156928902.50
32,32,32,256,3,3,1,0.001906,275092470.34
32,32,32,256,3,3,4,0.003676,142629558.59
32,32,32,256,3,3,8,0.003449,151993797.51
32,32,32,256,4,4,1,0.001858,282194183.86
32,32,32,256,4,4,4,0.004176,125535416.21
32,32,32,256,4,4,8,0.004051,129417813.69
32,32,32,256,4,4,12,0.009823,53374700.04
32,32,32,256,4,4,16,0.004583,114398377.35
32,64,64,32,1,1,1,0.000513,255299414.91
32,64,64,32,2,2,1,0.000571,229415986.98
32,64,64,32,2,2,4,0.000761,172217515.50
32,64,64,32,3,3,1,0.000593,220950437.62
32,64,64,32,3,3,4,0.000644,203404768.63
32,64,64,32,3,3,8,0.000600,218521076.03
32,64,64,32,4,4,1,0.000555,236081542.36
32,64,64,32,4,4,4,0.001017,128878861.05
32,64,64,32,4,4,8,0.000570,230101037.20
32,64,64,32,4,4,12,0.001666,78679678.63
32,64,64,32,4,4,16,0.001030,127249919.46
32,64,64,64,1,1,1,0.001043,251241150.54
32,64,64,64,2,2,1,0.000942,278386453.01
32,64,64,64,2,2,4,0.002002,130913326.84
32,64,64,64,3,3,1,0.000946,277230320.60
32,64,64,64,3,3,4,0.002161,121278908.97
32,64,64,64,3,3,8,0.001141,229661785.17
32,64,64,64,4,4,1,0.000913,287261885.34
32,64,64,64,4,4,4,0.002122,123534885.01
32,64,64,64,4,4,8,0.001016,258023362.32
32,64,64,64,4,4,12,0.002402,109151394.31
32,64,64,64,4,4,16,0.002278,115085069.52
32,64,64,128,1,1,1,0.001567,334653759.90
32,64,64,128,2,2,1,0.001610,325569287.42
32,64,64,128,2,2,4,0.003747,139939100.80
32,64,64,128,3,3,1,0.001691,310037511.91
32,64,64,128,3,3,4,0.003680,142465154.38
32,64,64,128,3,3,8,0.003141,166942518.01
32,64,64,128,4,4,1,0.001716,305468972.67
32,64,64,128,4,4,4,0.003576,146619534.17
32,64,64,128,4,4,8,0.002983,175752149.77
32,64,64,128,4,4,12,0.009393,55817200.11
32,64,64,128,4,4,16,0.004403,119084993.40
32,64,64,256,1,1,1,0.003158,332008348.97
32,64,64,256,2,2,1,0.003209,326711703.84
32,64,64,256,2,2,4,0.006479,161838008.87
32,64,64,256,3,3,1,0.003090,339326215.39
32,64,64,256,3,3,4,0.005257,199465665.62
32,64,64,256,3,3,8,0.006750,155354052.02
32,64,64,256,4,4,1,0.003103,337958688.18
32,64,64,256,4,4,4,0.005071,206787495.08
32,64,64,256,4,4,8,0.006372,164561246.25
32,64,64,256,4,4,12,0.011563,90681561.26
32,64,64,256,4,4,16,0.006122,171282239.40
32,128,128,32,1,1,1,0.001015,258197444.32
32,128,128,32,2,2,1,0.000965,271548815.26
32,128,128,32,2,2,4,0.002680,97804417.63
32,128,128,32,3,3,1,0.000984,266331532.24
32,128,128,32,3,3,4,0.002410,108756697.74
32,128,128,32,3,3,8,0.001011,259295638.12
32,128,128,32,4,4,1,0.000940,279013433.01
32,128,128,32,4,4,4,0.002574,101850009.08
32,128,128,32,4,4,8,0.000970,270185803.29
32,128,128,32,4,4,12,0.001892,138586436.31
32,128,128,32,4,4,16,0.001534,170929075.56
32,128,128,64,1,1,1,0.001646,318462303.23
32,128,128,64,2,2,1,0.001749,299764788.02
32,128,128,64,2,2,4,0.002529,207302866.28
32,128,128,64,3,3,1,0.001648,318184768.84
32,128,128,64,3,3,4,0.003165,165637736.87
32,128,128,64,3,3,8,0.002846,184222810.77
32,128,128,64,4,4,1,0.001747,300121007.19
32,128,128,64,4,4,4,0.002992,175244826.70
32,128,128,64,4,4,8,0.003106,168796663.17
32,128,128,64,4,4,12,0.003064,171127522.37
32,128,128,64,4,4,16,0.003894,134647016.68
32,128,128,128,1,1,1,0.003131,334921523.11
32,128,128,128,2,2,1,0.003331,314758570.97
32,128,128,128,2,2,4,0.004700,223113526.20
32,128,128,128,3,3,1,0.003207,326993207.85
32,128,128,128,3,3,4,0.006532,160518687.81
32,128,128,128,3,3,8,0.005699,183990941.29
32,128,128,128,4,4,1,0.003108,337369994.62
32,128,128,128,4,4,4,0.005868,178703562.90
32,128,128,128,4,4,8,0.006055,173166790.34
32,128,128,128,4,4,12,0.010937,95872615.59
32,128,128,128,4,4,16,0.007585,138252010.98
32,128,128,256,1,1,1,0.005551,377765106.63
32,128,128,256,2,2,1,0.005684,368955048.97
32,128,128,256,2,2,4,0.006858,305776112.84
32,128,128,256,3,3,1,0.005581,375737672.02
32,128,128,256,3,3,4,0.007420,282632710.95
32,128,128,256,3,3,8,0.007799,268896839.66
32,128,128,256,4,4,1,0.005686,368808629.72
32,128,128,256,4,4,4,0.012476,168090096.37
32,128,128,256,4,4,8,0.007201,291242070.80
32,128,128,256,4,4,12,0.013126,159772550.34
32,128,128,256,4,4,16,0.008351,251121427.52
32,256,256,32,1,1,1,0.001789,293033709.70
32,256,256,32,2,2,1,0.001936,270797613.00
32,256,256,32,2,2,4,0.002990,175342695.30
32,256,256,32,3,3,1,0.001842,284603948.09
32,256,256,32,3,3,4,0.003127,167671605.30
32,256,256,32,3,3,8,0.004331,121053689.38
32,256,256,32,4,4,1,0.001771,296118246.07
32,256,256,32,4,4,4,0.003375,155328761.56
32,256,256,32,4,4,8,0.002971,176462345.31
32,256,256,32,4,4,12,0.002859,183352298.28
32,256,256,32,4,4,16,0.004466,117391514.95
32,256,256,64,1,1,1,0.003128,335199794.11
32,256,256,64,2,2,1,0.003261,321584273.77
32,256,256,64,2,2,4,0.004226,248103860.05
32,256,256,64,3,3,1,0.003075,340970491.57
32,256,256,64,3,3,4,0.004328,242252978.02
32,256,256,64,3,3,8,0.004377,239544354.40
32,256,256,64,4,4,1,0.003139,334091111.08
32,256,256,64,4,4,4,0.004354,240834771.34
32,256,256,64,4,4,8,0.005198,201722860.44
32,256,256,64,4,4,12,0.005722,183252609.05
32,256,256,64,4,4,16,0.006324,165819074.25
32,256,256,128,1,1,1,0.005571,376463680.93
32,256,256,128,2,2,1,0.005833,359514008.43
32,256,256,128,2,2,4,0.007360,284956467.98
32,256,256,128,3,3,1,0.005833,359540959.13
32,256,256,128,3,3,4,0.008398,249710269.71
32,256,256,128,3,3,8,0.008499,246766308.37
32,256,256,128,4,4,1,0.005626,372743199.10
32,256,256,128,4,4,4,0.010181,205987243.54
32,256,256,128,4,4,8,0.006049,346685848.01
32,256,256,128,4,4,12,0.013564,154607671.07
32,256,256,128,4,4,16,0.007073,296506015.60
32,256,256,256,1,1,1,0.010333,405904710.57
32,256,256,256,2,2,1,0.010432,402043392.89
32,256,256,256,2,2,4,0.010437,401874381.26
32,256,256,256,3,3,1,0.010358,404924370.90
32,256,256,256,3,3,4,0.011663,359629014.75
32,256,256,256,3,3,8,0.011933,351478759.62
32,256,256,256,4,4,1,0.010381,404053637.99
32,256,256,256,4,4,4,0.013514,310360115.03
32,256,256,256,4,4,8,0.012359,339377663.44
32,256,256,256,4,4,12,0.014336,292567471.24
32,256,256,256,4,4,16,0.015208,275795181.79
64,32,32,32,1,1,1,0.000556,235723196.34
64,32,32,32,2,2,1,0.000509,257260170.24
64,32,32,32,2,2,4,0.000844,155233835.11
64,32,32,32,3,3,1,0.000507,258329493.65
64,32,32,32,3,3,4,0.000699,187437976.50
64,32,32,32,3,3,8,0.000642,204298193.16
64,32,32,32,4,4,1,0.000524,249931358.63
64,32,32,32,4,4,4,0.000835,157053896.15
64,32,32,32,4,4,8,0.000619,211701119.29
64,32,32,32,4,4,12,0.001270,103187125.76
64,32,32,32,4,4,16,0.001066,122943237.42
64,32,32,64,1,1,1,0.000920,285034252.87
64,32,32,64,2,2,1,0.000908,288835905.61
64,32,32,64,2,2,4,0.002987,87756813.36
64,32,32,64,3,3,1,0.000921,284639024.10
64,32,32,64,3,3,4,0.002870,91337528.81
64,32,32,64,3,3,8,0.005229,50133891.07
64,32,32,64,4,4,1,0.002510,104456321.63
64,32,32,64,4,4,4,0.002950,88861773.39
64,32,32,64,4,4,8,0.005024,52176423.28
64,32,32,64,4,4,12,0.008676,30214849.01
64,32,32,64,4,4,16,0.010350,25327127.05
64,32,32,128,1,1,1,0.001480,354168254.42
64,32,32,128,2,2,1,0.001628,321994572.46
64,32,32,128,2,2,4,0.003357,156199869.65
64,32,32,128,3,3,1,0.001589,330009034.09
64,32,32,128,3,3,4,0.003413,153607397.77
64,32,32,128,3,3,8,0.006746,77720388.60
64,32,32,128,4,4,1,0.001612,325185214.81
64,32,32,128,4,4,4,0.005097,102861607.31
64,32,32,128,4,4,8,0.005849,89643960.56
64,32,32,128,4,4,12,0.009851,53221848.71
64,32,32,128,4,4,16,0.011505,45568472.99
64,32,32,256,1,1,1,0.002821,371729200.21
64,32,32,256,2,2,1,0.002995,350146604.07
64,32,32,256,2,2,4,0.003895,269192609.63
64,32,32,256,3,3,1,0.002943,356283317.20
64,32,32,256,3,3,4,0.005332,196640897.93
64,32,32,256,3,3,8,0.005953,176152275.88
64,32,32,256,4,4,1,0.003150,332865941.36
64,32,32,256,4,4,4,0.004914,213368882.85
64,32,32,256,4,4,8,0.007374,142206930.34
64,32,32,256,4,4,12,0.011343,92445846.58
64,32,32,256,4,4,16,0.008540,122784304.94
64,64,64,32,1,1,1,0.000893,293634548.53
64,64,64,32,2,2,1,0.000863,303793119.23
64,64,64,32,2,2,4,0.002385,109934694.05
64,64,64,32,3,3,1,0.000859,305022194.46
64,64,64,32,3,3,4,0.002462,106479716.07
64,64,64,32,3,3,8,0.000908,288763993.53
64,64,64,32,4,4,1,0.000878,298533438.61
64,64,64,32,4,4,4,0.002052,127751051.07
64,64,64,32,4,4,8,0.001106,237074332.54
64,64,64,32,4,4,12,0.001833,143001932.90
64,64,64,32,4,4,16,0.001497,175132314.71
64,64,64,64,1,1,1,0.001543,339690164.12
64,64,64,64,2,2,1,0.001815,288873626.08
64,64,64,64,2,2,4,0.003526,148671088.71
64,64,64,64,3,3,1,0.001558,336482807.54
64,64,64,64,3,3,4,0.003719,140973107.28
64,64,64,64,3,3,8,0.005633,93066654.12
64,64,64,64,4,4,1,0.001476,355286895.01
64,64,64,64,4,4,4,0.005214,100557151.04
64,64,64,64,4,4,8,0.005558,94337923.25
64,64,64,64,4,4,12,0.008787,59664348.50
64,64,64,64,4,4,16,0.010945,47900389.77
64,64,64,128,1,1,1,0.002665,393476243.32
